study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	experiment_alias	fastq_ftp	submitted_ftp	sra_ftp
PRJEB38036	SAMEA6804877	ERX4088281	ERR4097108	408170	human gut metagenome	CNX0150008	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097108/ERR4097108_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097108/ERR4097108_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097108/D_4_20.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097108/D_4_20.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/008/ERR4097108
PRJEB38036	SAMEA6804912	ERX4088282	ERR4097109	408170	human gut metagenome	CNX0150098	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4097109/ERR4097109_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4097109/ERR4097109_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097109/F_27.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097109/F_27.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/009/ERR4097109
PRJEB38036	SAMEA6804913	ERX4088283	ERR4097110	408170	human gut metagenome	CNX0150099	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4097110/ERR4097110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4097110/ERR4097110_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097110/F_28.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097110/F_28.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/000/ERR4097110
PRJEB38036	SAMEA6804748	ERX4088284	ERR4097111	408170	human gut metagenome	CNX0150035	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097111/ERR4097111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097111/ERR4097111_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097111/D6300_28.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097111/D6300_28.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/001/ERR4097111
PRJEB38036	SAMEA6804793	ERX4088285	ERR4097112	408170	human gut metagenome	CNX0149917	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097112/ERR4097112_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097112/ERR4097112_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097112/A_8.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097112/A_8.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/002/ERR4097112
PRJEB38036	SAMEA6804792	ERX4088286	ERR4097113	408170	human gut metagenome	CNX0149916	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4097113/ERR4097113_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4097113/ERR4097113_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097113/A_7.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097113/A_7.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/003/ERR4097113
PRJEB38036	SAMEA6804791	ERX4088287	ERR4097114	408170	human gut metagenome	CNX0149915	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097114/ERR4097114_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097114/ERR4097114_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097114/A_6.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097114/A_6.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/004/ERR4097114
PRJEB38036	SAMEA6804790	ERX4088288	ERR4097115	408170	human gut metagenome	CNX0149914	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4097115/ERR4097115_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4097115/ERR4097115_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097115/A_5.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097115/A_5.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/005/ERR4097115
PRJEB38036	SAMEA6804797	ERX4088289	ERR4097116	408170	human gut metagenome	CNX0149913	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097116/ERR4097116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097116/ERR4097116_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097116/A_42.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097116/A_42.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/006/ERR4097116
PRJEB38036	SAMEA6804796	ERX4088290	ERR4097117	408170	human gut metagenome	CNX0149912	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4097117/ERR4097117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4097117/ERR4097117_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097117/A_41.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097117/A_41.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/007/ERR4097117
PRJEB38036	SAMEA6804795	ERX4088291	ERR4097118	408170	human gut metagenome	CNX0149911	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097118/ERR4097118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097118/ERR4097118_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097118/A_40.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097118/A_40.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/008/ERR4097118
PRJEB38036	SAMEA6804794	ERX4088292	ERR4097119	408170	human gut metagenome	CNX0149910	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4097119/ERR4097119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4097119/ERR4097119_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097119/A_4.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097119/A_4.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/009/ERR4097119
PRJEB38036	SAMEA6804789	ERX4088293	ERR4097120	408170	human gut metagenome	CNX0149919	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4097120/ERR4097120_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4097120/ERR4097120_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097120/B_1.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097120/B_1.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/000/ERR4097120
PRJEB38036	SAMEA6804788	ERX4088294	ERR4097121	408170	human gut metagenome	CNX0149918	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097121/ERR4097121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097121/ERR4097121_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097121/A_9.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097121/A_9.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/001/ERR4097121
PRJEB38036	SAMEA6804855	ERX4088295	ERR4097122	408170	human gut metagenome	CNX0150076	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097122/ERR4097122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097122/ERR4097122_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097122/E_4_19.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097122/E_4_19.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/002/ERR4097122
PRJEB38036	SAMEA6804810	ERX4088296	ERR4097123	408170	human gut metagenome	CNX0150077	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4097123/ERR4097123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4097123/ERR4097123_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097123/E_4_20.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097123/E_4_20.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/003/ERR4097123
